GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6025011000,402500006,6.18E+10,Imperial Ave. Holbrook High School,h,5,0.594,59,0.188406,NA,0.811594,NA,NA,NA,13614.93,44668.41,0.7904078,0.03604954,0.020904,0.7254871,0.8523292,0.1973419,NA,0.0757371,0.6513761
6025011000,402500006,6.18E+10,Frank M. Wright Middle School,m,6,0.506,944,0.167604,0.0146232,0.786277,0.01799772,0.00674916,0.00337458,14270.32,46818.62,0.7904078,0.03604954,0.020904,0.7254871,0.8523292,0.1973419,NA,0.0757371,0.6513761
6025011000,402500006,6.18E+10,Imperial High School,h,8,0.448,1002,0.173592,0.0249307,0.773777,0.02308407,0.00461681,NA,13492.99,44268.35,0.7904078,0.03604954,0.020904,0.7254871,0.8523292,0.1973419,NA,0.0757371,0.6513761
6025011100,402500038,63621006180,Seeley Elementary School,"e,m",4,0.825,383,0.0573066,0.0286533,0.891117,0.00573066,0.0114613,0.00573066,7502.131,24613.29,0.8185793,0.03961749,0.01147541,0.6677595,0.6707721,0.1307437,NA,0.1871147,0.6526316
6025011100,402500038,6.18E+10,Westside Elementary,e,NA,NA,32,NA,NA,NA,NA,NA,NA,5915.94,19409.25,0.8185793,0.03961749,0.01147541,0.6677595,0.6707721,0.1307437,NA,0.1871147,0.6526316
6025011201,402500006,61821008489,T. L. Waggoner Elementary School,e,6,0.419,710,0.155067,0.00610501,0.811966,0.02075702,0.003663,0.002442,11140.16,36549.08,0.8089906,0.01460565,0.02612788,0.8021746,0.8471178,0.1977165,NA,0.1265823,0.5678392
6025011202,402500006,61203012728,Imagine Schools At Imperial Valley,"e,m",1,0.768,632,0.0274463,0.00954654,0.953461,0.00357996,NA,0.00238663,8720.225,28609.66,0.5844083,0.02505141,0.01495607,0.8911946,0.6167997,0.1291218,NA,0.3834148,0.6171875
6025011202,402500006,61203009797,Martin Luther King Jr. Elementary School,"e,m",6,0.841,427,0.0148883,0.00992556,0.972705,NA,0.00248139,NA,9030.71,29628.31,0.5844083,0.02505141,0.01495607,0.8911946,0.6167997,0.1291218,NA,0.3834148,0.6171875
6025011300,402500006,69101009224,Imperial County Juvenile Hall/Community,"e,m,h",NA,0.966,252,0.0394089,0.00492611,0.906404,0.00492611,NA,0.0147783,3169.973,10400.17,0.6905265,0.004043003,0.009096757,0.9179454,0.595633,0.1132363,NA,0.1639925,0.6666667
6025011300,402500006,6.17E+10,Heber Elementary School,"e,m",7,0.949,1139,0.00580431,0.000829187,0.992537,NA,0.000829187,NA,698.3106,2291.045,0.6905265,0.004043003,0.009096757,0.9179454,0.595633,0.1132363,NA,0.1639925,0.6666667
